PostId,PostTypeId,ParentId,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastActivityDate,LastEditDate,CommentCount,FavouriteCount
31494,2,31493,2015-05-12T21:19:36.640,2,,13650,,2015-05-12T22:02:53.543,2018-12-17T19:02:24.963,2,
31576,2,31574,2015-05-15T19:40:01.230,18,,8496,,2016-08-08T16:39:54.250,2016-08-08T16:39:54.250,2,
31594,2,10251,2015-05-16T11:42:19.593,2,,30917,,2015-05-16T12:22:17.777,2015-05-16T12:22:17.777,1,
31599,2,8418,2015-05-16T12:58:51.080,2,,30917,,2015-05-16T12:58:51.080,,0,
31667,2,31666,2015-05-18T13:41:44.400,2,,13650,,2015-05-18T14:11:45.753,2015-05-18T14:11:45.753,5,
31734,2,31728,2015-05-20T08:09:46.120,2,,13650,,2015-05-20T09:11:31.483,2018-12-17T19:02:24.963,2,
31756,2,3627,2015-05-20T17:40:53.173,5,,31057,,2015-05-20T17:46:24.820,2018-12-17T19:02:24.963,1,
31840,2,31829,2015-05-23T13:28:38.773,1,,5538,,2015-06-15T14:57:35.877,2015-06-15T14:57:35.877,5,
32048,2,31966,2015-05-29T15:33:22.967,2,,29246,,2015-06-05T11:03:48.530,2015-06-05T11:03:48.530,6,
32242,2,32240,2015-06-05T10:54:28.833,0,,13650,,2015-06-05T13:10:30.583,2015-06-05T13:10:30.583,2,
32396,2,32389,2015-06-10T07:27:28.233,3,,13650,,2015-06-10T07:27:28.233,,7,
32464,2,32462,2015-06-12T10:55:36.713,0,,26148,,2015-06-12T11:47:55.453,2015-06-12T11:47:55.453,9,
32652,2,32644,2015-06-18T13:04:56.957,5,,29174,,2015-06-18T13:18:56.797,2015-06-18T13:18:56.797,1,
32704,2,32703,2015-06-20T12:48:36.710,1,,13650,,2015-06-20T12:48:36.710,,2,
32729,2,32728,2015-06-21T12:11:43.157,1,,19820,,2015-06-21T12:11:43.157,,0,
32822,2,32795,2015-06-23T22:31:31.483,1,,4055,,2015-06-23T22:31:31.483,,2,
32853,2,32649,2015-06-24T14:42:58.327,1,,30760,,2015-06-24T14:42:58.327,,2,
33081,2,33036,2015-07-01T16:40:10.860,1,,32368,,2015-12-28T14:27:06.873,2015-12-28T14:27:06.873,0,
